Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
BS_GROUPBOX,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_HATCHED,Yes,Yes,Yes,style/brush, -,wingdi.h,,,No,constant
BS_HOLLOW,Yes,Yes,Yes,style/brush, -,wingdi.h,,,No,constant
BS_ICON,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_INDEXED,Yes,Yes,No,style/brush, -,wingdi.h,,,No,constant
BS_LEFT,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_MULTILINE,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_NOTIFY,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_NULL,Yes,Yes,Yes,style/brush, -,wingdi.h,,,No,constant
BS_OWNERDRAW,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_PATTERN,Yes,Yes,Yes,style/brush, -,wingdi.h,,,No,constant
BS_PATTERN8X8,Yes,Yes,No,style/brush, -,wingdi.h,,,No,constant
BS_PUSHBUTTON,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_PUSHLIKE,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_RADIOBUTTON,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_RIGHT,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_RIGHTBUTTON,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_SOLID,Yes,Yes,Yes,style/brush, -,wingdi.h,,,No,constant
BS_TEXT,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_TOP,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_VCENTER,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
CBS_AUTOHSCROLL,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_DISABLENOSCROLL,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_DROPDOWN,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_DROPDOWNLIST,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_HASSTRINGS,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_LOWERCASE,Yes,Yes,No,style/combobox, -,winuser.h,,,No,constant
CBS_NOINTEGRALHEIGHT,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_OEMCONVERT,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_OWNERDRAWFIXED,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_OWNERDRAWVARIABLE,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_SIMPLE,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_SORT,Yes,Yes,Yes,style/combobox, -,winuser.h,,,No,constant
CBS_UPPERCASE,Yes,Yes,No,style/combobox, -,winuser.h,,,No,constant
LBS_DISABLENOSCROLL,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_EXTENDEDSEL,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_HASSTRINGS,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_MULTICOLUMN,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_MULTIPLESEL,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_NODATA,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_NOINTEGRALHEIGHT,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_NOREDRAW,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_NOTIFY,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_OWNERDRAWFIXED,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_OWNERDRAWVARIABLE,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_SORT,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_STANDARD,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_USETABSTOPS,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
LBS_WANTKEYBOARDINPUT,Yes,Yes,Yes,style/listbox, -,winuser.h,,,No,constant
PS_ALTERNATE,Yes,No,No,style/pen, -,wingdi.h,,,No,constant
PS_COSMETIC,Yes,Yes,No,style/pen, -,wingdi.h,,,No,constant
PS_DASH,Yes,Yes,Yes,style/pen, -,wingdi.h,"""Windows 95: Doesn't support this in a wideline""",,No,constant
PS_DASHDOT,Yes,Yes,Yes,style/pen, -,wingdi.h,"""Windows 95: Doesn't support this in a wideline""",,No,constant
PS_DASHDOTDOT,Yes,Yes,Yes,style/pen, -,wingdi.h,"""Windows 95: Doesn't support this in a wideline""",,No,constant
PS_DOT,Yes,Yes,Yes,style/pen, -,wingdi.h,"""Windows 95: Doesn't support this in a wideline""",,No,constant
PS_ENDCAP_FLAT,Yes,Yes,No,style/pen, -,wingdi.h,"""Windows 95: Supported only in a path""",,No,constant
PS_ENDCAP_ROUND,Yes,Yes,No,style/pen, -,wingdi.h,"""Windows 95: Supported only in a path""",,No,constant
PS_ENDCAP_SQUARE,Yes,Yes,No,style/pen, -,wingdi.h,"""Windows 95: Supported only in a path""",,No,constant
PS_GEOMETRIC,Yes,Yes,No,style/pen, -,wingdi.h,,,No,constant
PS_INSIDEFRAME,Yes,Yes,Yes,style/pen, -,wingdi.h,,,No,constant
PS_JOIN_BEVEL,Yes,Yes,No,style/pen, -,wingdi.h,"""Windows 95: Supported only in a path""",,No,constant
PS_JOIN_MITER,Yes,Yes,No,style/pen, -,wingdi.h,"""Windows 95: Supported only in a path""",,No,constant
PS_JOIN_ROUND,Yes,Yes,No,style/pen, -,wingdi.h,"""Windows 95: Supported only in a path""",,No,constant
PS_NULL,Yes,Yes,Yes,style/pen, -,wingdi.h,,,No,constant
PS_SOLID,Yes,Yes,Yes,style/pen, -,wingdi.h,,,No,constant
PS_USERSTYLE,Yes,No,No,style/pen, -,wingdi.h,,,No,constant
WM_DDE_FIRST,Yes,Yes,Yes,msg/dde, -,dde.h,,,No,constant
WM_DDE_LAST,Yes,Yes,Yes,msg/dde, -,dde.h,,,No,constant
WM_MOUSEFIRST,Yes,Yes,Yes,msg, -,winuser.h,,,No,constant
WM_MOUSELAST,Yes,Yes,Yes,msg, -,winuser.h,,,No,constant
WM_PENWINFIRST,Yes,Yes,Yes,msg, -,winuser.h,,,No,constant
WM_PENWINLAST,Yes,Yes,Yes,msg, -,winuser.h,,,No,constant
WS_EX_ACCEPTFILES,Yes,Yes,Yes,style/window, -,winuser.h,,,No,constant
WS_EX_DLGMODALFRAME,Yes,Yes,Yes,style/window, -,winuser.h,,,No,constant
WS_EX_NOPARENTNOTIFY,Yes,Yes,Yes,style/window, -,winuser.h,,,No,constant
WS_EX_TOPMOST,Yes,Yes,Yes,style/window, -,winuser.h,,,No,constant
